Player,Season - Club played for,Competition name,Value currency (millions),Market value,Current club,Player nationality,Player age,Position,games_appearances,mins_played,FOULS per 90 mins weighted by mins_played per _Season - Club - Competition,fouls,was_fouled,Foul committed / Was fouled ratio weighted by was_fouled per _Season - Club - Competition,yellow_card,red_card
David Brooks,2017/2018 - Sheffield United,English Football League - Championship,€,19.6,AFC Bournemouth,Wales,"23,60",RW,30,1147,1.3339145597210114,17,29,0.5862068965517241,5,
Dayot Upamecano,2018/2019 - RB Leipzig,German Bundesliga,€,65.3,RB Leipzig,France,"22,30",CB,15,1292,1.1842105263157894,17,4,4.25,5,
Éverton,2018/2019 - Grêmio,Brazilian Serie A,€,31.5,SL Benfica,Brazil,"24,90",LW,27,2131,1.267010793054904,30,46,0.6521739130434783,5,
Fausto Vera,2019/2020 - Argentinos Juniors,Argentina Superliga,€,8.6,Argentinos Juniors,Argentina,"20,89",DM,14,886,2.539503386004515,25,4,6.25,5,
Felipe Anderson,2016/2017 - Lazio,Italian Serie A,€,20.1,FC Porto,Brazil,"27,83",LW,36,2919,1.3874614594039054,45,49,0.9183673469387755,5,0
Ferran Torres,2018/2019 - Valencia CF,Spanish La Liga,€,55,Manchester City FC,Spain,"20,96",RW,24,843,1.9217081850533808,18,10,1.8,5,
Florian Neuhaus,2017/2018 - Fortuna Düsseldorf,German Bundesliga Zwei,€,41.1,Borussia VfL Mönchengladbach,Germany,"23,91",CM,27,2109,1.2802275960170697,30,53,0.5660377358490566,5,
Florian Neuhaus,2018/2019 - Borussia Mönchengladbach,German Bundesliga,€,41.1,Borussia VfL Mönchengladbach,Germany,"23,91",CM,32,2070,1.1304347826086956,26,40,0.65,5,
Franck Kessié,2016/2017 - Atalanta,Italian Serie A,€,41.9,AC Milan,Ivory Coast,"24,16",CM,30,2223,2.2267206477732793,55,32,1.71875,5,2
Gerard Moreno,2019/2020 - Villarreal,Spanish La Liga,€,40.6,Villarreal CF,Spain,"28,86",FW,35,2752,1.177325581395349,36,50,0.72,5,
Gerson,2020/2021 - Flamengo,Brazilian Serie A,€,17.2,CR Flamengo,Brazil,"23,74",CM,20,1625,2.3815384615384616,43,76,0.5657894736842105,5,0
Hans Vanaken,2017/2018 - Club Brugge,Belgian Jupiler Pro League,€,16.6,Club Brugge,Belgium,"28,48",AM,39,3215,1.0917573872472786,39,53,0.7358490566037735,5,0
Harry Kane,2017/2018 - Tottenham Hotspur,English Premier League,€,125,Tottenham Hotspur FC,England,"27,55",FW,37,3083,0.9925397340253,34,40,0.85,5,0
Harry Kane,2018/2019 - Tottenham Hotspur,English Premier League,€,125,Tottenham Hotspur FC,England,"27,55",FW,28,2427,1.1495673671199012,31,52,0.5961538461538461,5,
Harry Maguire,2016/2017 - Hull City,English Premier League,€,59.2,Manchester United FC,England,"27,95",CB,29,2307,0.9362808842652796,24,36,0.6666666666666666,5,0
Irfan Can Kahveci,2017/2018 - Istanbul Basaksehir,Turkish Super Lig,€,11.1,Istanbul Basaksehir FK,Turkey,"25,58",CM,25,1170,1.6923076923076923,22,29,0.7586206896551724,5,0
Jack Grealish,2018/2019 - Aston Villa,English Football League - Championship,€,71.2,Aston Villa FC,England,"25,43",AM,34,2995,1.2921535893155258,43,161,0.2670807453416149,5,
Jefferson Lerma,2020/2021 - Bournemouth,English Football League - Championship,€,13.1,AFC Bournemouth,Colombia,"26,31",DM,14,1046,1.892925430210325,22,24,0.9166666666666666,5,0
Jesús Corona,2017/2018 - FC Porto,Portuguese Primeira Liga,€,29.7,FC Porto,Mexico,"28,11",RW,27,1445,2.2422145328719725,36,43,0.8372093023255814,5,1
Jesús Corona,2019/2020 - FC Porto,Portuguese Primeira Liga,€,29.7,FC Porto,Mexico,"28,11",RW,33,2762,1.2708182476466328,39,64,0.609375,5,1
Jorginho,2017/2018 - Napoli,Italian Serie A,€,44,Chelsea FC,Italy,"29,15",DM,33,2664,1.0810810810810811,32,19,1.6842105263157894,5,0
José Giménez,2016/2017 - Atlético de Madrid,Spanish La Liga,€,41,Atlético de Madrid,Uruguay,"26,07",CB,17,1012,0.8893280632411067,10,20,0.5,5,0
José Giménez,2018/2019 - Atlético de Madrid,Spanish La Liga,€,41,Atlético de Madrid,Uruguay,"26,07",CB,21,1772,0.4063205417607223,8,18,0.4444444444444444,5,
Kalidou Koulibaly,2017/2018 - Napoli,Italian Serie A,€,45.1,SSC Napoli,Senegal,"29,65",CB,35,3066,0.8806262230919765,30,9,3.3333333333333335,5,1
Koke,2019/2020 - Atlético de Madrid,Spanish La Liga,€,48.9,Atlético de Madrid,Spain,"29,10",CM,32,2699,0.766950722489811,23,33,0.696969696969697,5,
Kylian Mbappé,2018/2019 - Paris Saint-Germain,French Ligue 1,€,185,Paris Saint-Germain FC,France,"22,15",LW,29,2342,0.7301451750640479,19,44,0.4318181818181818,5,1
Marcos Llorente,2016/2017 - Alavés,Spanish La Liga,€,41.1,Atlético de Madrid,Spain,"26,04",FW,32,2805,1.4759358288770053,46,34,1.3529411764705883,5,0
Mason Mount,2017/2018 - Vitesse,Dutch Eredivisie,€,66,Chelsea FC,England,"22,10",AM,32,2428,1.112026359143328,30,37,0.8108108108108109,5,0
Mason Mount,2018/2019 - Derby County,English Football League - Championship,€,66,Chelsea FC,England,"22,10",AM,38,3320,1.2198795180722892,45,43,1.0465116279069768,5,
Matthijs de Ligt,2019/2020 - Juventus,Italian Serie A,€,88.5,Juventus FC,Netherlands,"21,51",CB,29,2448,1.0661764705882353,29,18,1.6111111111111112,5,
Neymar,2016/2017 - Barcelona,UEFA Champions League,€,115,Paris Saint-Germain FC,Brazil,"29,03",LW,9,797,1.468005018820577,13,32,0.40625,5,0
Nicolas Pépé,2017/2018 - Lille,French Ligue 1,€,55.7,Arsenal FC,Ivory Coast,"25,71",RW,36,2844,0.9177215189873417,29,81,0.35802469135802467,5,0
Paul Pogba,2017/2018 - Manchester United,English Premier League,€,49.6,Manchester United FC,France,"27,92",CM,27,2151,1.8410041841004183,44,51,0.8627450980392157,5,1
Paulo Dybala,2019/2020 - Juventus,Italian Serie A,€,61.6,Juventus FC,Argentina,"27,25",FW,33,2165,0.9976905311778291,24,54,0.4444444444444444,5,
Pedri,2019/2020 - Las Palmas,Spanish Segunda Division,€,58.1,FC Barcelona,Spain,"18,22",AM,36,2833,0.5718319802329686,18,45,0.4,5,
Pierre-Emile Höjbjerg,2019/2020 - Southampton,English Premier League,€,46.3,Tottenham Hotspur FC,Denmark,"25,53",DM,33,2750,1.5054545454545454,46,36,1.2777777777777777,5,
Raheem Sterling,2019/2020 - Manchester City,English Premier League,€,125,Manchester City FC,England,"26,19",LW,33,2660,1.0150375939849623,30,40,0.75,5,
Reece James,2018/2019 - Wigan Athletic,English Football League - Championship,€,47.7,Chelsea FC,England,"21,19",RB,45,3970,1.08816120906801,48,61,0.7868852459016393,5,
Richarlison,2018/2019 - Everton,English Premier League,€,59.7,Everton FC,Brazil,"23,76",FW,35,2678,1.0754294249439882,32,73,0.4383561643835616,5,1
Robert Lewandowski,2016/2017 - FC Bayern München,German Bundesliga,€,73.8,FC Bayern München,Poland,"32,48",FW,33,2777,1.2963629816348579,40,56,0.7142857142857143,5,0
Robert Lewandowski,2019/2020 - FC Bayern München,German Bundesliga,€,73.8,FC Bayern München,Poland,"32,48",FW,31,2762,1.0427226647356986,32,43,0.7441860465116279,5,
Roberto Firmino,2016/2017 - Liverpool,English Premier League,€,63.7,Liverpool FC,Brazil,"29,37",FW,35,3068,1.4960886571056062,51,31,1.6451612903225807,5,0
Rodri,2018/2019 - Atlético de Madrid,Spanish La Liga,€,71.8,Manchester City FC,Spain,"24,65",DM,34,2742,1.9365426695842451,59,43,1.372093023255814,5,
Roman Yaremchuk,2017/2018 - KAA Gent,Belgian Jupiler Pro League,€,13.3,KAA Gent,Ukraine,"25,22",FW,32,2016,1.0714285714285714,24,42,0.5714285714285714,5,0
Santos Borré,2019/2020 - River Plate,Argentina Superliga,€,8.5,River Plate,Colombia,"25,42",FW,20,1372,1.3119533527696792,20,17,1.1764705882352942,5,
Steven Bergwijn,2017/2018 - PSV,Dutch Eredivisie,€,48.6,Tottenham Hotspur FC,Netherlands,"23,35",LW,32,2172,1.0359116022099448,25,39,0.6410256410256411,5,0
Tanguy Ndombélé,2017/2018 - Lyon,French Ligue 1,€,42.5,Tottenham Hotspur FC,France,"24,13",CM,32,2361,1.2960609911054637,34,70,0.4857142857142857,5,0
Teun Koopmeiners,2018/2019 - AZ,Dutch Eredivisie,€,22.9,AZ Alkmaar,Netherlands,"22,96",DM,32,2880,0.71875,23,14,1.6428571428571428,5,
Theo Hernández,2018/2019 - Real Sociedad,Spanish La Liga,€,52.8,AC Milan,France,"23,36",LB,24,1976,1.3208502024291497,29,70,0.4142857142857143,5,1
Thiago,2018/2019 - FC Bayern München,German Bundesliga,€,41.3,Liverpool FC,Spain,"29,85",CM,30,2408,1.9435215946843853,52,34,1.5294117647058822,5,
Trent Alexander-Arnold,2019/2020 - Liverpool,English Premier League,€,110.8,Liverpool FC,England,"22,36",RB,38,3176,0.6234256926952141,22,9,2.4444444444444446,5,
Ugurcan Cakir,2019/2020 - Trabzonspor,Turkish Super Lig,€,14.5,Trabzonspor,Turkey,"24,86",GK,33,2891,0.03113109650639917,1,11,0.09090909090909091,5,
Wilfred Ndidi,2016/2017 - KRC Genk,Belgian Jupiler Pro League,€,44.2,Leicester City FC,Nigeria,"24,16",DM,19,1710,2.0526315789473686,39,16,2.4375,5,0
Wilfried Zaha,2017/2018 - Crystal Palace,English Premier League,€,43.8,Crystal Palace FC,Ivory Coast,"28,26",LW,29,2551,1.5876127009016072,45,76,0.5921052631578947,5,0
Wilfried Zaha,2019/2020 - Crystal Palace,English Premier League,€,43.8,Crystal Palace FC,Ivory Coast,"28,26",LW,38,3280,1.3170731707317074,48,120,0.4,5,
